49.90.2.46	中国	江苏			电信	AS4134		chinatelecom.com.cn
124.67.18.206	中国	内蒙古	呼和浩特		联通	AS4837		chinaunicom.com
112.10.210.31	中国	浙江	杭州		移动	AS56041		chinamobile.com
111.60.78.232	中国	湖北	武汉		移动	AS9808		chinamobile.com
222.93.12.209	中国	江苏	苏州		电信	AS4134		chinatelecom.com.cn
171.83.8.222	中国	湖北	武汉		电信	AS137266		chinatelecom.com.cn
121.24.21.213	中国	河北	邯郸		联通	AS4837		chinaunicom.com
59.34.184.150	中国	广东	云浮		电信	AS140314		chinatelecom.com.cn
171.221.165.218	中国	四川	成都		电信	AS4134		chinatelecom.com.cn
112.96.69.76	中国	广东			联通	AS17816		chinaunicom.com
61.150.44.71	中国	陕西	咸阳		电信	AS4134		chinatelecom.com.cn
27.47.161.182	中国	广东	广州		联通	AS17622		chinaunicom.com
49.90.33.194	中国	江苏			电信	AS4134		chinatelecom.com.cn
117.128.36.139	中国	北京	北京		移动	AS56048		chinamobile.com
183.25.64.252	中国	广东	惠州		电信	AS140317		chinatelecom.com.cn
60.212.44.49	中国	山东	烟台		联通	AS4837		chinaunicom.com
27.219.203.47	中国	山东	青岛		联通	AS4837		chinaunicom.com
61.150.44.68	中国	陕西	咸阳		电信	AS4134		chinatelecom.com.cn
120.231.154.202	中国	广东	清远		移动	AS9808		chinamobile.com
116.4.215.192	中国	广东	东莞		电信	AS134772		chinatelecom.com.cn
223.102.240.193	中国	辽宁	辽阳		移动	AS56044		chinamobile.com
183.42.209.95	中国	广东			电信	AS4134		chinatelecom.com.cn
117.28.225.150	中国	福建	福州		电信	AS4809		chinatelecom.com.cn
183.251.198.197	中国	福建	南平		移动	AS9808		chinamobile.com
27.129.128.151	中国	河北	保定		电信	AS4134		chinatelecom.com.cn
124.114.202.78	中国	陕西	西安		电信	AS4134		chinatelecom.com.cn
117.132.48.165	中国	山东	济宁		移动	AS24444		chinamobile.com
124.17.37.123	中国	北京	北京		科技网	AS7497		cstnet.cn
182.39.61.234	中国	山东			电信	AS4134		chinatelecom.com.cn
58.45.68.207	中国	湖南	株洲		电信	AS4134		chinatelecom.com.cn
112.18.168.236	中国	四川	成都		移动	AS9808		chinamobile.com
117.153.66.20	中国	湖北	宜昌		移动	AS9808		chinamobile.com
125.73.18.252	中国	广西			电信	AS4134		chinatelecom.com.cn
120.242.110.77	中国	安徽	芜湖		移动	AS9808		chinamobile.com
58.250.54.24	中国	广东	深圳		联通	AS17623		chinaunicom.com
112.38.48.121	中国	山东	聊城		移动	AS24444		chinamobile.com
14.19.0.249	中国	广东	广州		电信	AS134773		chinatelecom.com.cn
171.215.195.255	中国	四川	遂宁		电信	AS4134		chinatelecom.com.cn
223.104.19.93	中国	河南	郑州		移动	AS24445		chinamobile.com
183.197.44.96	中国	河北	石家庄		移动	AS24547		chinamobile.com
114.254.3.133	中国	北京	北京		联通	AS4808		chinaunicom.com
113.111.200.206	中国	广东	广州		电信	AS134773		chinatelecom.com.cn
120.231.59.149	中国	广东	茂名		移动	AS9808		chinamobile.com
222.90.60.121	中国	陕西	西安		电信	AS4134		chinatelecom.com.cn
124.17.37.117	中国	北京	北京		科技网	AS7497		cstnet.cn
144.12.28.150	中国	山东			电信	AS4134		chinatelecom.com.cn
117.128.37.115	中国	北京	北京		移动	AS56048		chinamobile.com
58.38.95.154	中国	上海	上海		电信	AS4812		chinatelecom.com.cn
202.98.74.146	中国	云南	昆明		电信	AS4134		chinatelecom.com.cn
171.221.216.108	中国	四川	成都		电信	AS4134		chinatelecom.com.cn
120.225.21.202	中国	山东	济南		移动	AS24444		chinamobile.com
124.17.37.119	中国	北京	北京		科技网	AS7497		cstnet.cn
123.53.102.200	中国	河南	南阳		电信	AS4134		chinatelecom.com.cn
39.144.137.197	中国	四川	成都		移动	AS9808		chinamobile.com
116.237.187.218	中国	上海	上海		电信	AS4812		chinatelecom.com.cn
114.249.56.91	中国	北京	北京		联通	AS4808		chinaunicom.com
119.103.150.41	中国	湖北			电信	AS4134		chinatelecom.com.cn
116.147.252.232	中国	江苏			联通	AS4837		chinaunicom.com
222.95.56.164	中国	江苏	南京		电信	AS4134		chinatelecom.com.cn
223.160.177.65	中国	甘肃			移动	AS9808		chinabtn.com
222.209.32.65	中国	四川	成都		电信	AS4134		chinatelecom.com.cn
112.94.131.200	中国	广东	广州		联通	AS17622		chinaunicom.com
223.88.178.69	中国	河南	洛阳		移动	AS24445		chinamobile.com
115.223.171.244	中国	浙江	温州		电信	AS4134		chinatelecom.com.cn
153.0.135.78	中国	海南	海口		联通	AS4837		chinaunicom.com
223.82.147.13	中国	江西	抚州		移动	AS56045		chinamobile.com
119.186.194.121	中国	山东	枣庄		联通	AS4837		chinaunicom.com
